#TYPE System.IO.FileInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","VersionInfo","BaseName","Mode","Name","Length","DirectoryName","Directory","IsReadOnly","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\%22_1568 - BLDG - 1568 Spring Hill Rd., McLean, VA%22.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","%22_1568 - BLDG - 1568 Spring Hill Rd., McLean, VA%22.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\%22_1568 - BLDG - 1568 Spring Hill Rd., McLean, VA%22.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","%22_1568 - BLDG - 1568 Spring Hill Rd., McLean, VA%22","-a---","%22_1568 - BLDG - 1568 Spring Hill Rd., McLean, VA%22.png","77","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\%22_1568 - BLDG - 1568 Spring Hill Rd., McLean, VA%22.png",".png","3/20/2014 5:55:33 PM","3/20/2014 9:55:33 PM","3/20/2014 5:55:33 PM","3/20/2014 9:55:33 PM","3/20/2014 5:55:33 PM","3/20/2014 9:55:33 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - BREAK ROOM - 100.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - BREAK ROOM - 100.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - BREAK ROOM - 100.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - BREAK ROOM - 100","-a---","1568 - BREAK ROOM - 100.png","919","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - BREAK ROOM - 100.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - BREAK ROOM - 200.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - BREAK ROOM - 200.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - BREAK ROOM - 200.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - BREAK ROOM - 200","-a---","1568 - BREAK ROOM - 200.png","925","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - BREAK ROOM - 200.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - BREAK ROOM - 300.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - BREAK ROOM - 300.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - BREAK ROOM - 300.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - BREAK ROOM - 300","-a---","1568 - BREAK ROOM - 300.png","930","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - BREAK ROOM - 300.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - BREAK ROOM - 301.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - BREAK ROOM - 301.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - BREAK ROOM - 301.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - BREAK ROOM - 301","-a---","1568 - BREAK ROOM - 301.png","924","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - BREAK ROOM - 301.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - BREAK ROOM - 400%2F402.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - BREAK ROOM - 400%2F402.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - BREAK ROOM - 400%2F402.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - BREAK ROOM - 400%2F402","-a---","1568 - BREAK ROOM - 400%2F402.png","1050","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - BREAK ROOM - 400%2F402.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - CR - Aspen.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - CR - Aspen.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - CR - Aspen.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - CR - Aspen","-a---","1568 - CR - Aspen.png","777","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - CR - Aspen.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - CR - Batcave.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - CR - Batcave.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - CR - Batcave.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - CR - Batcave","-a---","1568 - CR - Batcave.png","839","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - CR - Batcave.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - CR - Fishbowl.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - CR - Fishbowl.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - CR - Fishbowl.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - CR - Fishbowl","-a---","1568 - CR - Fishbowl.png","840","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - CR - Fishbowl.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - CR - Killington.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - CR - Killington.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - CR - Killington.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - CR - Killington","-a---","1568 - CR - Killington.png","876","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - CR - Killington.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
